TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-15T06:30:00Z,2009-09-15T16:19:47Z,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN
2009-09-15T06:59:59Z,2009-09-15T16:49:46Z,OUT_WARN,OUT_WARN,,,OUT_WARN
2009-09-15T07:30:00Z,2009-09-15T17:19:47Z,,,,,
2009-09-15T08:00:00Z,2009-09-15T17:49:47Z,,,,,
2009-09-15T08:29:59Z,2009-09-15T18:19:46Z,,,,,
2009-09-15T09:00:00Z,2009-09-15T18:49:47Z,,,,,
2009-09-15T09:30:00Z,2009-09-15T19:19:47Z,,,,,
2009-09-15T09:59:59Z,2009-09-15T19:49:46Z,,,,,
2009-09-15T10:30:00Z,2009-09-15T20:19:47Z,,,,,
2009-09-15T11:00:00Z,2009-09-15T20:49:47Z,,,,,
2009-09-15T11:29:59Z,2009-09-15T21:19:46Z,,,,,
2009-09-15T12:00:00Z,2009-09-15T21:49:47Z,,,,,
2009-09-15T12:30:00Z,2009-09-15T22:19:47Z,,,,,
2009-09-15T12:59:59Z,2009-09-15T22:49:46Z,,,,,
2009-09-15T13:30:00Z,2009-09-15T23:19:47Z,,,,,
2009-09-15T14:00:00Z,2009-09-15T23:49:47Z,,,,,
2009-09-15T14:29:59Z,2009-09-16T00:20:08Z,,,,,
2009-09-15T15:00:00Z,2009-09-16T00:50:09Z,,,,,
2009-09-15T15:30:00Z,2009-09-16T01:20:09Z,,,,,
2009-09-15T15:59:59Z,2009-09-16T01:50:08Z,,,,,
2009-09-15T16:30:00Z,2009-09-16T02:20:09Z,,,,,
2009-09-15T17:00:00Z,2009-09-16T02:50:09Z,,,,,
2009-09-15T17:29:59Z,2009-09-16T03:20:08Z,,,,,
2009-09-15T18:00:00Z,2009-09-16T03:50:09Z,,,,,
2009-09-15T18:30:00Z,2009-09-16T04:20:09Z,,,,,
2009-09-15T18:59:59Z,2009-09-16T04:50:08Z,,,,,
2009-09-15T19:30:00Z,2009-09-16T05:20:09Z,,,,,
2009-09-15T20:00:00Z,2009-09-16T05:50:09Z,,,,,
2009-09-15T20:29:59Z,2009-09-16T06:20:08Z,,,,,
2009-09-15T21:00:00Z,2009-09-16T06:50:09Z,,,,,
2009-09-15T21:30:00Z,2009-09-16T07:20:09Z,,,,,
2009-09-15T21:59:59Z,2009-09-16T07:50:08Z,,,,,
2009-09-15T22:30:00Z,2009-09-16T08:20:09Z,,,,,
2009-09-15T23:00:00Z,2009-09-16T08:50:09Z,,,,,
2009-09-15T23:29:59Z,2009-09-16T09:20:08Z,,,,,
2009-09-16T00:00:00Z,2009-09-16T09:50:09Z,,,,,
2009-09-16T00:30:00Z,2009-09-16T10:20:09Z,,,,,
2009-09-16T00:59:59Z,2009-09-16T10:50:08Z,,,,,
2009-09-16T01:30:00Z,2009-09-16T11:20:09Z,,,,,
2009-09-16T02:00:00Z,2009-09-16T11:50:09Z,,,,,
2009-09-16T02:29:59Z,2009-09-16T12:20:08Z,,,,,
2009-09-16T03:00:00Z,2009-09-16T12:50:09Z,,,,,
2009-09-16T03:30:00Z,2009-09-16T13:20:09Z,,,,,
2009-09-16T03:59:59Z,2009-09-16T13:50:08Z,OUT_WARN,,,,
2009-09-16T04:30:00Z,2009-09-16T14:20:09Z,OUT_WARN,,,,
2009-09-16T05:00:00Z,2009-09-16T14:50:09Z,OUT_WARN,,,,
2009-09-16T05:29:59Z,2009-09-16T15:20:08Z,OUT_WARN,,,,
2009-09-16T06:00:00Z,2009-09-16T15:50:09Z,,,,,
2009-09-16T06:30:00Z,2009-09-16T16:20:09Z,,,,,
2009-09-16T06:59:59Z,2009-09-16T16:50:08Z,,,,,
2009-09-16T07:30:00Z,2009-09-16T17:20:09Z,,,,,
2009-09-16T08:00:00Z,2009-09-16T17:50:09Z,,,,,
2009-09-16T08:29:59Z,2009-09-16T18:20:08Z,,,,,
2009-09-16T09:00:00Z,2009-09-16T18:50:09Z,,,,,
2009-09-16T09:30:00Z,2009-09-16T19:20:09Z,,,,,
2009-09-16T09:59:59Z,2009-09-16T19:50:08Z,,,,,
2009-09-16T10:30:00Z,2009-09-16T20:20:09Z,,,,,
2009-09-16T11:00:00Z,2009-09-16T20:50:09Z,,,,,
2009-09-16T11:29:59Z,2009-09-16T21:20:08Z,,,,,
2009-09-16T12:00:00Z,2009-09-16T21:50:09Z,,,,,
2009-09-16T12:30:00Z,2009-09-16T22:20:09Z,,,,,
2009-09-16T12:59:59Z,2009-09-16T22:50:08Z,,,,,
