TIMESTAMP,solar_TIMESTAMP,ESP_RIN_Qpy_Jt_1,ESP_RIN_Qpy_Jt_2,ESP_RIN_Qpy_Jt_3,ESP_RIN_Qpy_Jt_4,ESP_RIN_Qpy_Jt_5,ESP_RIN_Qpy_Jt_6,ESP_RIN_Qpy_Jt_7,ESP_RIN_Qpy_Jt_8
2007-06-14T04:00:00Z,2007-06-14T03:35:10Z,,,,,,,,
2007-06-14T05:00:00Z,2007-06-14T04:35:10Z,,,,,,,,
2007-06-14T06:00:00Z,2007-06-14T05:35:10Z,,,,,,,,
2007-06-14T07:00:00Z,2007-06-14T06:35:10Z,,,,,,,,
2007-06-14T08:00:00Z,2007-06-14T07:35:10Z,,,,,,,,
2007-06-14T09:00:00Z,2007-06-14T08:35:10Z,,,,,,,,
2007-06-14T10:00:00Z,2007-06-14T09:35:10Z,,,,,,,,
2007-06-14T11:00:00Z,2007-06-14T10:35:10Z,,,,,,,,
2007-06-14T12:00:00Z,2007-06-14T11:35:10Z,,,,,,,,
2007-06-14T13:00:00Z,2007-06-14T12:35:10Z,,,,,,,,
2007-06-14T14:00:00Z,2007-06-14T13:35:10Z,,,,,,,,
2007-06-14T15:00:00Z,2007-06-14T14:35:10Z,,,,,,,,
2007-06-14T16:00:00Z,2007-06-14T15:35:10Z,,,,,,,,
2007-06-14T17:00:00Z,2007-06-14T16:35:10Z,,,,,,,,
2007-06-14T18:00:00Z,2007-06-14T17:35:10Z,,,,,,,,
2007-06-14T19:00:00Z,2007-06-14T18:35:10Z,,,,,,,,
2007-06-14T20:00:00Z,2007-06-14T19:35:10Z,,,,,,,,
2007-06-14T21:00:00Z,2007-06-14T20:35:10Z,,,,,,,,
